name,owner
freeCodeCamp,freeCodeCamp
build-your-own-x,codecrafters-io
awesome,sindresorhus
free-programming-books,EbookFoundation
public-apis,public-apis
developer-roadmap,kamranahmedse
coding-interview-university,jwasham
system-design-primer,donnemartin
996.ICU,996icu
awesome-python,vinta
awesome-selfhosted,awesome-selfhosted
project-based-learning,practical-tutorials
react,facebook
vue,vuejs
Python,TheAlgorithms
linux,torvalds
computer-science,ossu
javascript-algorithms,trekhleb
tensorflow,tensorflow
the-book-of-secret-knowledge,trimstray
You-Dont-Know-JS,getify
CS-Notes,CyC2018
ohmyzsh,ohmyzsh
AutoGPT,Significant-Gravitas
vscode,microsoft
bootstrap,twbs
flutter,flutter
Python-100-Days,jackfrued
gitignore,github
the-art-of-command-line,jlevy
stable-diffusion-webui,AUTOMATIC1111
awesome-go,avelino
ollama,ollama
JavaGuide,Snailclimb
transformers,huggingface
javascript,airbnb
n8n,n8n-io
youtube-dl,ytdl-org
next.js,vercel
awesome-chatgpt-prompts,f
tech-interview-handbook,yangshun
go,golang
fucking-algorithm,labuladong
scrcpy,Genymobile
yt-dlp,yt-dlp
30-seconds-of-code,Chalarangelo
react-native,facebook
PowerToys,microsoft
langflow,langflow-ai
electron,electron
kubernetes,kubernetes
hello-algo,krahets
langchain,langchain-ai
free-programming-books-zh_CN,justjavac
dify,langgenius
node,nodejs
free-for-dev,ripienaar
d3,d3
open-webui,open-webui
three.js,mrdoob
axios,axios
excalidraw,excalidraw
rust,rust-lang
TypeScript,microsoft
deno,denoland
nodebestpractices,goldbergyoni
create-react-app,facebook
godot,godotengine
terminal,microsoft
DeepSeek-V3,deepseek-ai
frp,fatedier
generative-ai-for-beginners,microsoft
angular,angular
rustdesk,rustdesk
papers-we-love,papers-we-love
Awesome-Hacking,Hack-with-Github
iptv,iptv-org
tauri,tauri-apps
material-ui,mui
ant-design,ant-design
ui,shadcn-ui
HowToCook,Anduin2017
thefuck,nvbn
clean-code-javascript,ryanmcdermott
pytorch,pytorch
neovim,neovim
java-design-patterns,iluwatar
puppeteer,puppeteer
every-programmer-should-know,mtdvio
Web-Dev-For-Beginners,microsoft
tailwindcss,tailwindlabs
vue-element-admin,PanJiaChen
fastapi,fastapi
ComfyUI,comfyanonymous
supabase,supabase
awesome-mac,jaywcjlove
whisper,openai
storybook,storybookjs
v2rayN,2dust
nvm,nvm-sh
llama.cpp,ggml-org
NextChat,ChatGPTNextWeb
bitcoin,bitcoin
gin,gin-gonic
app-ideas,florinpop17
django,django
opencv,opencv
svelte,sveltejs
hugo,gohugoio
mermaid,mermaid-js
realworld,gothinkster
animate.css,animate-css
laravel,laravel
mall,macrozheng
core,home-assistant
manim,3b1b
bun,oven-sh
FiraCode,tonsky
markitdown,microsoft
spring-boot,spring-projects
devops-exercises,bregman-arie
advanced-java,doocs
awesome-for-beginners,MunGell
immich,immich-app
ML-For-Beginners,microsoft
models,tensorflow
playwright,microsoft
awesome-interview-questions,DopplerHQ
gpt4all,nomic-ai
gemini-cli,google-gemini
syncthing,syncthing
github-readme-stats,anuraghazra
netdata,netdata
weekly,ruanyf
clash-verge-rev,clash-verge-rev
Font-Awesome,FortAwesome
vite,vitejs
uptime-kuma,louislam
json-server,typicode
elasticsearch,elastic
hoppscotch,hoppscotch
union,unionlabs
code-server,coder
fzf,junegunn
Best-websites-a-programmer-should-visit,sdmg15
Deep-Live-Cam,hacksider
awesome-vue,vuejs
nest,nestjs
LLMs-from-scratch,rasbt
d2l-zh,d2l-ai
Front-End-Checklist,thedaviddias
awesome-mcp-servers,punkpeye
redis,redis
screenshot-to-code,abi
Ventoy,ventoy
moby,moby
browser-use,browser-use
flask,pallets
PayloadsAllTheThings,swisskyrepo
awesome-llm-apps,Shubhamsaboo
grafana,grafana
awesome-react,enaqx
awesome-machine-learning,josephmisiti
tesseract,tesseract-ocr
cs-video-courses,Developer-Y
strapi,strapi
reveal.js,hakimel
gpt_academic,binary-husky
protobuf,protocolbuffers
swift,swiftlang
cpython,python
sherlock,sherlock-project
servers,modelcontextprotocol
node,base
imgui,ocornut
uv,astral-sh
superset,apache
openai-cookbook,openai
awesome-public-datasets,awesomedata
localsend,localsend
Stirling-PDF,Stirling-Tools
express,expressjs
cs-self-learning,PKUFlyingPig
the-algorithm,twitter
obs-studio,obsproject
caddy,caddyserver
awesome-cpp,fffaraz
Chart.js,chartjs
ansible,ansible
tabby,Eugeny
zed,zed-industries
act,nektos
lobe-chat,lobehub
SecLists,danielmiessler
AppFlowy,AppFlowy-IO
33-js-concepts,leonardomso
webpack,webpack
lazygit,jesseduffield
gpt4free,xtekky
ragflow,infiniflow
